,City,Country,Date,Temperature,Humidity,Clouds,Wind_Speed,Latitude,Longitude
210,Idenao,CM,2018-12-21 08:00:00,87.80000000000001,55,20,3.6,4.25,9.0
211,Ihosy,MG,2018-12-21 08:53:32,75.94160000000005,64,92,2.16,-22.4,46.13
212,Ilo,PE,2018-12-21 08:00:00,69.80000000000001,77,90,3.6,-17.65,-71.34
213,Ilulissat,GL,2018-12-21 07:50:00,22.999999999999943,92,90,3.1,69.22,-51.1
214,Imbituba,BR,2018-12-21 08:00:00,82.39999999999992,69,0,4.1,-28.24,-48.67
215,Indianola,US,2018-12-21 08:35:00,21.739999999999952,80,1,1.5,40.24,-100.42
216,Iqaluit,CA,2018-12-21 08:00:00,-0.39999999999997726,77,90,6.7,63.75,-68.52
217,Iracoubo,GF,2018-12-21 08:53:34,76.39159999999998,95,92,2.51,5.48,-53.21
218,Isangel,VU,2018-12-21 08:53:34,75.98660000000001,100,92,3.76,-19.55,169.27
219,Itoman,JP,2018-12-21 08:30:00,73.39999999999992,78,40,1.0,26.12,127.67
220,Ivankiv,UA,2018-12-21 08:30:00,26.599999999999966,100,90,3.0,50.93,29.9
221,Jacksonville,US,2018-12-21 08:35:00,59.71999999999997,77,40,5.7,30.33,-81.66
222,Jalu,LY,2018-12-21 08:53:35,65.41159999999996,39,76,1.81,29.03,21.55
223,Jamestown,AU,2018-12-21 08:48:44,51.64160000000004,72,0,4.41,-33.21,138.6
224,Japura,ID,2018-12-21 08:53:36,72.88159999999999,98,68,0.71,-0.42,102.29
225,Jaru,BR,2018-12-21 08:53:36,87.3716,68,8,1.36,-10.43,-62.48
226,Jerome,US,2018-12-21 08:35:00,48.19999999999993,36,1,3.6,34.75,-112.11
227,Jinxi,CN,2018-12-21 08:53:37,56.00659999999999,99,92,1.46,27.92,116.75
228,Junagadh,IN,2018-12-21 08:53:37,68.02159999999998,35,0,3.11,21.52,70.46
229,Kahului,US,2018-12-21 07:56:00,71.9600000000001,84,20,4.6,20.89,-156.47
230,Kaitangata,NZ,2018-12-21 08:53:37,45.61159999999995,82,12,3.31,-46.28,169.85
231,Kalga,RU,2018-12-21 08:53:38,4.121599999999944,73,68,1.21,50.92,118.9
232,Kalmunai,LK,2018-12-21 08:53:38,73.8716,100,92,1.16,7.42,81.82
233,Kambove,CD,2018-12-21 08:53:38,64.73660000000001,97,92,3.11,-10.88,26.6
234,Kamloops,CA,2018-12-21 08:53:38,26.621599999999944,78,88,0.66,50.68,-120.34
235,Kanash,RU,2018-12-21 08:30:00,10.399999999999977,85,20,3.0,55.51,47.5
236,Kang,BW,2018-12-21 08:53:38,95.7416,23,8,2.66,-23.67,22.79
237,Kangaba,ML,2018-12-21 08:53:38,92.9966,23,0,5.91,11.94,-8.41
238,Kanniyakumari,IN,2018-12-21 08:53:39,83.00659999999999,100,88,1.01,8.08,77.57
239,Kannod,IN,2018-12-21 08:53:39,54.83660000000003,58,0,3.21,22.67,76.74
240,Kapaa,US,2018-12-21 07:56:00,73.04000000000002,70,90,7.2,22.08,-159.32
241,Kapuskasing,CA,2018-12-21 08:00:00,15.799999999999955,92,90,4.6,49.42,-82.43
242,Kargasok,RU,2018-12-21 08:53:40,14.786599999999964,66,68,4.76,59.06,80.87
243,Kargil,PK,2018-12-21 08:53:40,-23.6884,64,0,0.56,34.56,76.13
244,Karymskoye,RU,2018-12-21 08:53:41,3.80660000000006,74,68,6.21,51.62,114.34
245,Katangli,RU,2018-12-21 08:53:44,11.14160000000004,100,8,5.41,51.71,143.23
246,Katete,UG,2018-12-21 08:53:44,74.86160000000001,60,56,2.51,-0.78,29.75
247,Katsuura,JP,2018-12-21 08:13:00,57.19999999999999,100,75,4.6,33.93,134.5
248,Kavaratti,IN,2018-12-21 08:53:45,81.34160000000003,100,0,2.31,10.57,72.64
249,Kavieng,PG,2018-12-21 08:53:45,81.1166,100,68,3.31,-2.57,150.8
250,Kedougou,SN,2018-12-21 08:53:45,95.33660000000003,20,8,5.41,12.56,-12.19
251,Kendari,ID,2018-12-21 08:53:45,79.9916,73,56,3.91,-3.99,122.52
252,Ketchikan,US,2018-12-21 07:56:00,35.960000000000036,92,90,2.6,55.34,-131.65
253,Khalkhal,IR,2018-12-21 08:53:46,30.896599999999978,92,92,0.96,37.62,48.53
254,Kharan,PK,2018-12-21 08:53:46,42.05660000000006,82,0,1.31,28.58,65.42
255,Khatanga,RU,2018-12-21 08:53:46,-12.438400000000001,60,56,2.91,71.98,102.47
256,Khor,RU,2018-12-21 08:53:47,1.4215999999999553,61,32,1.21,47.88,134.96
257,Khuzhir,RU,2018-12-21 08:53:47,-5.148399999999981,100,0,3.71,53.19,107.35
258,Kiama,AU,2018-12-21 08:35:00,60.80000000000001,100,90,8.7,-34.67,150.86
259,Kijang,KR,2018-12-21 08:00:00,42.799999999999955,87,0,2.6,35.24,129.21
260,Killybegs,IE,2018-12-21 08:00:00,46.39999999999998,100,90,2.1,54.63,-8.45
261,Kimbe,PG,2018-12-21 08:53:47,78.73160000000001,100,88,1.46,-5.56,150.15
262,kimparana,ML,2018-12-21 08:53:48,90.07159999999993,25,0,5.51,12.83,-4.92
263,Kindu,CD,2018-12-21 08:53:48,78.14659999999998,81,32,1.21,-2.95,25.92
264,Kingsport,US,2018-12-21 08:42:00,48.19999999999993,96,90,3.1,36.55,-82.56
265,Kintampo,GH,2018-12-21 08:53:48,93.67159999999996,40,0,2.31,8.05,-1.73
266,Klaksvik,FO,2018-12-21 08:20:00,42.799999999999955,87,88,2.6,62.23,-6.59
267,Knezica,BA,2018-12-21 08:00:00,31.999999999999943,98,40,0.96,45.1,16.68
268,Ko Samui,TH,2018-12-21 08:30:00,80.59999999999997,94,20,1.0,9.54,99.94
269,Kodiak,US,2018-12-21 08:15:00,30.199999999999932,92,90,4.6,39.95,-94.76
